Sr,Square,Circle
0,11.12,19.72
1,10.8,19.36
2,10.82,19.34
3,9.82,18.04
4,11.76,21.14
5,11.62,20.54
6,11.7,20.7
7,11.24,19.44
8,11.32,19.52
9,10.9,18.3
10,8.68,15.08
11,9.6,16.84
12,9.54,16.4
13,10.44,17.7
14,11.88,21.26
15,10.78,18.48
16,10.88,18.78
17,10.66,18.34
18,10.48,18.4
19,13.08,21.58
20,10.02,19.12
21,11.16,18.76
22,12.04,20.8
23,12.62,21.1
24,11.82,19.52
25,11.72,20.02
26,12.76,21.14
27,12.24,20.02
28,13.5,22.6
29,13.16,22.68
30,11.76,19.92
31,12.52,21.06
32,11.74,20.4
33,13.8,22.5
34,13.52,23.58
35,12.64,20.88
